Model,Accuracy,Precision,Recall,F1,ROC_AUC
Hard Voting Ensemble,0.8685868586858686,0.7682926829268293,0.33157894736842103,0.4632352941176471,0.6554745985484884
Logistic Regression,0.8631863186318632,0.7159090909090909,0.33157894736842103,0.45323741007194246,0.6522172695582604
Decision Tree,0.8271827182718272,0.49206349206349204,0.3263157894736842,0.3924050632911392,0.62841305217441
KNN,0.8343834383438344,0.5625,0.14210526315789473,0.226890756302521,0.5596519801131493
GaussianNB,0.828982898289829,0.5,0.49473684210526314,0.4973544973544973,0.6963369335390593
SVM,0.8568856885688569,0.7818181818181819,0.22631578947368422,0.3510204081632653,0.6066432367563861
Random Forest,0.8667866786678667,0.8181818181818182,0.28421052631578947,0.421875,0.6355906051774387
AdaBoost,0.8577857785778578,0.66,0.3473684210526316,0.45517241379310347,0.6552260129150237
Gradient Boosting,0.864986498649865,0.6694915254237288,0.41578947368421054,0.512987012987013,0.6867220984056231
XGBoost,0.8703870387038704,0.7555555555555555,0.35789473684210527,0.4857142857142857,0.6670038287902166
LightGBM,0.8640864086408641,0.696969696969697,0.3631578947368421,0.47750865051903113,0.665292302417281
CatBoost,0.8676867686768677,0.7362637362637363,0.3526315789473684,0.47686832740213525,0.6632864735127721
